image_id,label
019l8asgtoc3w7u4jvz2,3
01azrkpiyt5hnme62xqw,5
01cmer84at6235quijxs,5
01h8cxbwsm4yvfokutdq,5
01j8aghkn6qmwd57ftou,5
01k5dh6mo2pzlqwefusg,3
01tzco3qhemnisw8rxd9,1
01vtqg69lc4y5zbds87a,4
01wmkb9s7hdgoeyxj2in,5
025agleubtw4c89pqfhv,4
02hfdqu6x48yzec73ski,4
02l84o6iuxg5m93acyt1,5
03g6xy15cbjdv2iseufl,5
03jf49vixcwzrqg2u7el,2
03lyxudzive1w7q9ja2h,5
03s8g1ufa2whkb4xynpq,4
045ylxbav9tp6kmzqhdf,3
04jvh8m2qyecwosifa51,2
04l3eboxvjuhzwcmitrp,2
04o8cztufsjx2qmwyrvh,0
04sxk213etc7i58f6bvy,0
05a3hekq62vlytonm1zf,2
05dgwmkjtlqv8ezai4xo,3
05ikbs1qrpf6a92vdj7c,0
05iydklc3rah4tnpuv72,2
0618rbsawjinz5dm9ev2,4
068k9znh7oqxiw5drlap,0
069lu47eszvwxy2qghcb,0
069oesvabf21jilymnw4,5
06c5iy87fmos4vxep21a,0
06l1fq2pnicrkodvyg5m,1
06oriw9e4z5n7gajhf8d,2
06xqapkj4gru97wne3bm,5
07b2ds4tgf5a1qoun6lh,3
07d5k34cpjtnsmue6zfw,4
07i35dbnchugtm84p6wl,5
07mtzbjorvk6xsiwueld,1
07plzw2rc6gsvieth3bd,1
07t5lhqbep4d1anmuzog,4
07wqcksrzf3o4h91mia2,5
08276gjp9viy4aferwbc,0
08crkjbid54mf2eyah69,3
08yshwpjzqnebu4172dt,5
091a8ghweq2nrm43i6pf,0
093bi7lezfq4u1h8msgo,5
095emvis4wfxudtjyl8b,3
09b8nu6ge7rfdcsx3pqh,4
09cdmi7kltx1qf2noarw,3
09gx6ah75yvcl83s2pem,2
09hgl7pmakjdq8ct1wfe,4
09rdue2kwoy3znbc6gi8,2
09shw3bzf8ev62jruclk,2
09xqtsmboch4el1w85ia,1
0aqbc5pi89xndzykwo7h,5
0b7ou6hsd4ctvgpn29lx,3
0bkpo3hugq5afmsw7ydn,1
0btd6lg3wucx5ynripqm,3
0bv8d5t2cjnpkfxeywhq,2
0bwk5mycpjxzfar7ode1,2
0cedry7b6z1tgs5mwhov,4
0d9kiaslgn3m5tqx18oy,4
0disor2kel6nm8a7ywug,0
0dqm2yvcgzb93ehr5wtj,1
0dtefj3sa7ykxbhz64gp,5
0dz4crulpayig1kb7qj6,5
0dzsw6y87u3ivberof91,3
0e2pwmqi8dsk5az9ylc6,4
0e7crua34s1tvgh9yibm,1
0fbtr8163onaqm5y7i9s,0
0fhgvnwdsu548mob6l2a,4
0fmz5nc7w3akr9sougpq,3
0fp6gxdouq3y7hzejns5,4
0fxenq823dm6li5wcsyh,2
0g2upbjmyahcx43evk57,0
0g5hdnv1fa9j2tixrbzq,2
0g7v3jf92dk4ceypthsz,2
0gds3azvxj5qrt8kumc9,3
0glu9vdmf4hy21pesro3,4
0h1f9xpeg4a82izcdmbt,2
0he3tf9z7orau8cmd6gj,1
0hibw1jnre46x7mdzuav,0
0holgdzskmf7pr2cbae9,0
0husylc7ao4ji8dvtw5g,5
0hydr26m5znuo1fw7i9b,3
0hz9dnbtoq5aw4piyes6,2
0i5nm7bsuxcqgz98yolw,2
0icvdlgf2z6wr4u5j9ot,0
0idm6fh3ca2byvpqjotk,4
